player,runs_conceded,balls_bowled,overs,economy
A Kumble,1058,965,160.83333333333334,6.578238341968912
GD McGrath,357,324,54.0,6.611111111111111
M Muralitharan,1706,1528,254.66666666666666,6.698952879581152
SP Narine,4582,4081,680.1666666666666,6.736584170546435
RE van der Merwe,498,443,73.83333333333333,6.744920993227991
DL Vettori,879,777,129.5,6.787644787644788
Rashid Khan,3267,2872,478.6666666666667,6.825208913649025
J Yadav,445,390,65.0,6.846153846153846
J Botha,800,694,115.66666666666667,6.916426512968299
MJ Santner,422,366,61.0,6.918032786885246
